Model,Domain,Subgroup_Type,Subgroup,N,Accuracy,F1,Kappa,QWK,Accuracy_CI_Lower,Accuracy_CI_Upper,Small_N_Flag
Gemini-2.5-Pro,Coping,Race,Other,39,0.4359,0.3887,0.2735,0.1914,0.2821,0.5897,False
Gemini-2.5-Pro,Coping,Gender,Male,173,0.4277,0.3384,0.1786,0.2895,0.3526,0.5087,False
Gemini-2.5-Pro,Coping,Gender,Female,144,0.4444,0.4149,0.2809,0.4312,0.3611,0.5210,False
Gemini-2.5-Pro,Coping,Gender,Other,6,0.3333,0.2333,0.2000,0.5882,0.0000,0.6667,True
Gemini-2.5-Pro,Coping,Age,18-24,83,0.3494,0.2827,0.1191,0.1336,0.2530,0.4578,False
Gemini-2.5-Pro,Coping,Age,25-30,240,0.4625,0.4173,0.2693,0.4944,0.3958,0.5250,False
Gemini-2.5-Pro,Quitting,Race,White,206,0.4223,0.3514,0.2006,0.4958,0.3592,0.4951,False
Gemini-2.5-Pro,Quitting,Race,Black / African American,78,0.5256,0.4766,0.3701,0.5225,0.4103,0.6410,False
Gemini-2.5-Pro,Quitting,Race,Other,39,0.4359,0.4368,0.2648,0.2821,0.2821,0.5897,False
Gemini-2.5-Pro,Quitting,Gender,Male,173,0.4509,0.3622,0.2124,0.3645,0.3699,0.5260,False
Gemini-2.5-Pro,Quitting,Gender,Female,144,0.4653,0.4292,0.3093,0.5132,0.3887,0.5418,False
Gemini-2.5-Pro,Quitting,Gender,Other,6,0.0000,0.0000,-0.0909,0.5000,0.0000,0.0000,True
Gemini-2.5-Pro,Quitting,Age,18-24,83,0.3373,0.3000,0.1275,0.2969,0.2410,0.4578,False
Gemini-2.5-Pro,Quitting,Age,25-30,240,0.4875,0.4228,0.2982,0.5457,0.4250,0.5501,False
