Model,Method,Domain,Category,Metric,Value,SE,CI_Lower,CI_Upper,Bootstrap_N,N
DeepSeek-R1,Hybrid RF+PP,Quitting,CBT,Accuracy,0.3488,0.0353,0.2791,0.4186,2000,172
DeepSeek-R1,Hybrid RF+PP,Quitting,CBT,F1,0.2993,0.0367,0.2225,0.3715,2000,172
DeepSeek-R1,Hybrid RF+PP,Quitting,CBT,Kappa,0.1452,0.0433,0.0603,0.2300,2000,172
DeepSeek-R1,Hybrid RF+PP,Quitting,CBT,QWK,0.3224,0.0696,0.1821,0.4546,2000,172
DeepSeek-R1,Hybrid RF+PP,Quitting,CBT,Directional Accuracy,0.5640,0.0375,0.4884,0.6395,2000,172
DeepSeek-R1,Hybrid RF+PP,Quitting,CBT,Directional Macro-F1,0.4627,0.0395,0.3830,0.5387,2000,172
DeepSeek-R1,Hybrid RF+PP,Quitting,CBT,Spearman_Rho,,,,,2000,172
Grok-4-Fast,Zero-shot (select),Content,ACT,Accuracy,0.3548,0.0437,0.2661,0.4355,2000,124
Grok-4-Fast,Zero-shot (select),Content,ACT,F1,0.1605,0.0209,0.1241,0.2053,2000,124
Grok-4-Fast,Zero-shot (select),Content,ACT,Kappa,0.0149,0.0529,-0.0876,0.1166,2000,124
Grok-4-Fast,Zero-shot (select),Content,ACT,QWK,0.1119,0.0524,0.0080,0.2197,2000,124
Grok-4-Fast,Zero-shot (select),Content,ACT,Directional Accuracy,0.6774,0.0419,0.5887,0.7500,2000,124
Grok-4-Fast,Zero-shot (select),Content,ACT,Directional Macro-F1,0.2692,0.0100,0.2470,0.2857,2000,124
Grok-4-Fast,Zero-shot (select),Content,ACT,Spearman_Rho,-0.0833,0.5418,-1.0000,1.0000,2000,124
Grok-4-Fast,Zero-shot (select),Coping,ACT,Accuracy,0.2984,0.0410,0.2177,0.3790,2000,124
Grok-4-Fast,Zero-shot (select),Coping,ACT,F1,0.1224,0.0179,0.0881,0.1579,2000,124
Grok-4-Fast,Zero-shot (select),Coping,ACT,Kappa,-0.0244,0.0346,-0.0936,0.0434,2000,124
Grok-4-Fast,Zero-shot (select),Coping,ACT,QWK,0.0566,0.0684,-0.0790,0.1836,2000,124
Grok-4-Fast,Zero-shot (select),Coping,ACT,Directional Accuracy,0.5726,0.0437,0.4839,0.6613,2000,124
Grok-4-Fast,Zero-shot (select),Coping,ACT,Directional Macro-F1,0.2945,0.0277,0.2431,0.3525,2000,124
Grok-4-Fast,Zero-shot (select),Coping,ACT,Spearman_Rho,0.5000,0.6753,-1.0000,1.0000,2000,124
Grok-4-Fast,Zero-shot (select),Quitting,ACT,Accuracy,0.3065,0.0412,0.2258,0.3871,2000,124
Grok-4-Fast,Zero-shot (select),Quitting,ACT,F1,0.2380,0.0355,0.1658,0.3040,2000,124
Grok-4-Fast,Zero-shot (select),Quitting,ACT,Kappa,0.0723,0.0496,-0.0224,0.1715,2000,124
Grok-4-Fast,Zero-shot (select),Quitting,ACT,QWK,0.2002,0.0838,0.0291,0.3563,2000,124
Grok-4-Fast,Zero-shot (select),Quitting,ACT,Directional Accuracy,0.5323,0.0443,0.4435,0.6129,2000,124
Grok-4-Fast,Zero-shot (select),Quitting,ACT,Directional Macro-F1,0.3692,0.0425,0.2856,0.4540,2000,124
Grok-4-Fast,Zero-shot (select),Quitting,ACT,Spearman_Rho,-0.1250,0.5023,-1.0000,1.0000,2000,124
Grok-4-Fast,Zero-shot (select),Content,CBT,Accuracy,0.3667,0.0393,0.2933,0.4467,2000,150
Grok-4-Fast,Zero-shot (select),Content,CBT,F1,0.1776,0.0264,0.1404,0.2459,2000,150
Grok-4-Fast,Zero-shot (select),Content,CBT,Kappa,0.0154,0.0519,-0.0792,0.1223,2000,150
Grok-4-Fast,Zero-shot (select),Content,CBT,QWK,0.0130,0.0643,-0.1030,0.1439,2000,150
Grok-4-Fast,Zero-shot (select),Content,CBT,Directional Accuracy,0.6867,0.0376,0.6133,0.7600,2000,150
Grok-4-Fast,Zero-shot (select),Content,CBT,Directional Macro-F1,0.2880,0.0197,0.2568,0.3330,2000,150
Grok-4-Fast,Zero-shot (select),Content,CBT,Spearman_Rho,0.4296,0.3809,-0.3333,1.0000,2000,150
Grok-4-Fast,Zero-shot (select),Coping,CBT,Accuracy,0.3133,0.0378,0.2400,0.3867,2000,150
Grok-4-Fast,Zero-shot (select),Coping,CBT,F1,0.1879,0.0269,0.1344,0.2406,2000,150
Grok-4-Fast,Zero-shot (select),Coping,CBT,Kappa,0.0384,0.0447,-0.0508,0.1245,2000,150
Grok-4-Fast,Zero-shot (select),Coping,CBT,QWK,-0.0019,0.0643,-0.1228,0.1296,2000,150
Grok-4-Fast,Zero-shot (select),Coping,CBT,Directional Accuracy,0.4600,0.0396,0.3800,0.5333,2000,150
Grok-4-Fast,Zero-shot (select),Coping,CBT,Directional Macro-F1,0.3536,0.0386,0.2765,0.4302,2000,150
Grok-4-Fast,Zero-shot (select),Coping,CBT,Spearman_Rho,0.1242,0.4139,-0.8897,1.0000,2000,150
Grok-4-Fast,Zero-shot (select),Quitting,CBT,Accuracy,0.2733,0.0366,0.2067,0.3467,2000,150
Grok-4-Fast,Zero-shot (select),Quitting,CBT,F1,0.2155,0.0306,0.1544,0.2731,2000,150
Grok-4-Fast,Zero-shot (select),Quitting,CBT,Kappa,0.0284,0.0469,-0.0636,0.1234,2000,150
Grok-4-Fast,Zero-shot (select),Quitting,CBT,QWK,0.0894,0.0797,-0.0635,0.2508,2000,150
Grok-4-Fast,Zero-shot (select),Quitting,CBT,Directional Accuracy,0.4467,0.0402,0.3667,0.5267,2000,150
Grok-4-Fast,Zero-shot (select),Quitting,CBT,Directional Macro-F1,0.3764,0.0429,0.2922,0.4586,2000,150
Grok-4-Fast,Zero-shot (select),Quitting,CBT,Spearman_Rho,0.0787,0.2456,-0.3622,0.6208,2000,150
Grok-4-Fast,Few-shot (select),Content,ACT,Accuracy,0.2903,0.0409,0.2097,0.3710,2000,124
Grok-4-Fast,Few-shot (select),Content,ACT,F1,0.1697,0.0253,0.1207,0.2191,2000,124
Grok-4-Fast,Few-shot (select),Content,ACT,Kappa,-0.0174,0.0533,-0.1205,0.0846,2000,124
Grok-4-Fast,Few-shot (select),Content,ACT,QWK,0.1302,0.0914,-0.0574,0.3030,2000,124
Grok-4-Fast,Few-shot (select),Content,ACT,Directional Accuracy,0.6290,0.0434,0.5484,0.7097,2000,124
Grok-4-Fast,Few-shot (select),Content,ACT,Directional Macro-F1,0.3517,0.0436,0.2686,0.4410,2000,124
Grok-4-Fast,Few-shot (select),Content,ACT,Spearman_Rho,-0.0352,0.2643,-0.5269,0.5455,2000,124
Grok-4-Fast,Few-shot (select),Coping,ACT,Accuracy,0.2419,0.0375,0.1772,0.3145,2000,124
Grok-4-Fast,Few-shot (select),Coping,ACT,F1,0.1503,0.0312,0.0929,0.2135,2000,124
Grok-4-Fast,Few-shot (select),Coping,ACT,Kappa,-0.0418,0.0413,-0.1204,0.0380,2000,124
Grok-4-Fast,Few-shot (select),Coping,ACT,QWK,0.0981,0.0899,-0.0791,0.2675,2000,124
Grok-4-Fast,Few-shot (select),Coping,ACT,Directional Accuracy,0.5161,0.0456,0.4274,0.6048,2000,124
Grok-4-Fast,Few-shot (select),Coping,ACT,Directional Macro-F1,0.3151,0.0356,0.2497,0.3868,2000,124
Grok-4-Fast,Few-shot (select),Coping,ACT,Spearman_Rho,-0.1959,0.2696,-0.7085,0.3578,2000,124
Grok-4-Fast,Few-shot (select),Quitting,ACT,Accuracy,0.3145,0.0420,0.2339,0.3952,2000,124
Grok-4-Fast,Few-shot (select),Quitting,ACT,F1,0.2765,0.0444,0.1885,0.3631,2000,124
Grok-4-Fast,Few-shot (select),Quitting,ACT,Kappa,0.0879,0.0514,-0.0146,0.1865,2000,124
Grok-4-Fast,Few-shot (select),Quitting,ACT,QWK,0.1653,0.0920,-0.0132,0.3518,2000,124
Grok-4-Fast,Few-shot (select),Quitting,ACT,Directional Accuracy,0.5806,0.0463,0.4919,0.6694,2000,124
Grok-4-Fast,Few-shot (select),Quitting,ACT,Directional Macro-F1,0.4157,0.0491,0.3242,0.5140,2000,124
Grok-4-Fast,Few-shot (select),Quitting,ACT,Spearman_Rho,0.0357,0.3182,-0.6000,0.6581,2000,124
Grok-4-Fast,Few-shot (select),Content,CBT,Accuracy,0.3533,0.0388,0.2800,0.4267,2000,150
Grok-4-Fast,Few-shot (select),Content,CBT,F1,0.2307,0.0430,0.1583,0.3132,2000,150
Grok-4-Fast,Few-shot (select),Content,CBT,Kappa,0.0642,0.0504,-0.0307,0.1634,2000,150
Grok-4-Fast,Few-shot (select),Content,CBT,QWK,0.1871,0.0948,0.0059,0.3629,2000,150
Grok-4-Fast,Few-shot (select),Content,CBT,Directional Accuracy,0.6333,0.0387,0.5600,0.7067,2000,150
Grok-4-Fast,Few-shot (select),Content,CBT,Directional Macro-F1,0.3310,0.0368,0.2672,0.4068,2000,150
Grok-4-Fast,Few-shot (select),Content,CBT,Spearman_Rho,-0.0769,0.2369,-0.5001,0.4235,2000,150
Grok-4-Fast,Few-shot (select),Coping,CBT,Accuracy,0.3200,0.0374,0.2467,0.3933,2000,150
Grok-4-Fast,Few-shot (select),Coping,CBT,F1,0.2748,0.0420,0.1901,0.3542,2000,150
Grok-4-Fast,Few-shot (select),Coping,CBT,Kappa,0.0812,0.0481,-0.0175,0.1723,2000,150
Grok-4-Fast,Few-shot (select),Coping,CBT,QWK,0.1662,0.0928,-0.0162,0.3413,2000,150
Grok-4-Fast,Few-shot (select),Coping,CBT,Directional Accuracy,0.5067,0.0408,0.4267,0.5867,2000,150
Grok-4-Fast,Few-shot (select),Coping,CBT,Directional Macro-F1,0.4340,0.0443,0.3424,0.5178,2000,150
Grok-4-Fast,Few-shot (select),Coping,CBT,Spearman_Rho,-0.1730,0.2606,-0.6972,0.3704,2000,150
Grok-4-Fast,Few-shot (select),Quitting,CBT,Accuracy,0.3133,0.0376,0.2400,0.3867,2000,150
Grok-4-Fast,Few-shot (select),Quitting,CBT,F1,0.2738,0.0417,0.1887,0.3534,2000,150
Grok-4-Fast,Few-shot (select),Quitting,CBT,Kappa,0.0758,0.0484,-0.0195,0.1720,2000,150
Grok-4-Fast,Few-shot (select),Quitting,CBT,QWK,0.2212,0.0913,0.0416,0.3991,2000,150
Grok-4-Fast,Few-shot (select),Quitting,CBT,Directional Accuracy,0.5200,0.0406,0.4400,0.6000,2000,150
Grok-4-Fast,Few-shot (select),Quitting,CBT,Directional Macro-F1,0.3805,0.0418,0.2979,0.4586,2000,150
Grok-4-Fast,Few-shot (select),Quitting,CBT,Spearman_Rho,-0.0769,0.2365,-0.5060,0.4286,2000,150
Grok-4-Fast,PP,Content,ACT,Accuracy,0.4662,0.0426,0.3851,0.5473,2000,148
Grok-4-Fast,PP,Content,ACT,F1,0.2820,0.0286,0.2259,0.3358,2000,148
Grok-4-Fast,PP,Content,ACT,Kappa,0.2095,0.0588,0.0945,0.3254,2000,148
Grok-4-Fast,PP,Content,ACT,QWK,0.2045,0.0882,0.0323,0.3875,2000,148
Grok-4-Fast,PP,Content,ACT,Directional Accuracy,0.7027,0.0386,0.6284,0.7770,2000,148
Grok-4-Fast,PP,Content,ACT,Directional Macro-F1,0.4246,0.0464,0.3368,0.5152,2000,148
Grok-4-Fast,PP,Content,ACT,Spearman_Rho,1.0000,0.0000,1.0000,1.0000,2000,148
Grok-4-Fast,PP,Coping,ACT,Accuracy,0.3960,0.0415,0.3154,0.4832,2000,149
Grok-4-Fast,PP,Coping,ACT,F1,0.3244,0.0433,0.2413,0.4061,2000,149
Grok-4-Fast,PP,Coping,ACT,Kappa,0.1722,0.0550,0.0683,0.2842,2000,149
Grok-4-Fast,PP,Coping,ACT,QWK,0.3857,0.0807,0.2195,0.5307,2000,149
Grok-4-Fast,PP,Coping,ACT,Directional Accuracy,0.6443,0.0399,0.5638,0.7181,2000,149
Grok-4-Fast,PP,Coping,ACT,Directional Macro-F1,0.4991,0.0465,0.4051,0.5856,2000,149
Grok-4-Fast,PP,Coping,ACT,Spearman_Rho,1.0000,0.0000,1.0000,1.0000,2000,149
Grok-4-Fast,PP,Quitting,ACT,Accuracy,0.4497,0.0409,0.3691,0.5235,2000,149
Grok-4-Fast,PP,Quitting,ACT,F1,0.3946,0.0451,0.2986,0.4745,2000,149
Grok-4-Fast,PP,Quitting,ACT,Kappa,0.2602,0.0518,0.1568,0.3559,2000,149
Grok-4-Fast,PP,Quitting,ACT,QWK,0.4967,0.0735,0.3427,0.6263,2000,149
Grok-4-Fast,PP,Quitting,ACT,Directional Accuracy,0.6711,0.0386,0.5973,0.7450,2000,149
Grok-4-Fast,PP,Quitting,ACT,Directional Macro-F1,0.5030,0.0445,0.4098,0.5908,2000,149
Grok-4-Fast,PP,Quitting,ACT,Spearman_Rho,1.0000,0.0000,1.0000,1.0000,2000,149
Grok-4-Fast,PP,Content,CBT,Accuracy,0.4943,0.0377,0.4195,0.5690,2000,174
Grok-4-Fast,PP,Content,CBT,F1,0.3223,0.0376,0.2551,0.3975,2000,174
Grok-4-Fast,PP,Content,CBT,Kappa,0.2498,0.0537,0.1433,0.3563,2000,174
Grok-4-Fast,PP,Content,CBT,QWK,0.4258,0.0710,0.2788,0.5515,2000,174
Grok-4-Fast,PP,Content,CBT,Directional Accuracy,0.7184,0.0333,0.6494,0.7816,2000,174
Grok-4-Fast,PP,Content,CBT,Directional Macro-F1,0.4581,0.0513,0.3611,0.5576,2000,174
Grok-4-Fast,PP,Content,CBT,Spearman_Rho,,,,,2000,174
Grok-4-Fast,PP,Coping,CBT,Accuracy,0.4713,0.0378,0.3966,0.5460,2000,174
Grok-4-Fast,PP,Coping,CBT,F1,0.3798,0.0420,0.2974,0.4605,2000,174
Grok-4-Fast,PP,Coping,CBT,Kappa,0.2763,0.0489,0.1815,0.3711,2000,174
Grok-4-Fast,PP,Coping,CBT,QWK,0.4712,0.0690,0.3320,0.5982,2000,174
Grok-4-Fast,PP,Coping,CBT,Directional Accuracy,0.6724,0.0352,0.6034,0.7414,2000,174
Grok-4-Fast,PP,Coping,CBT,Directional Macro-F1,0.5432,0.0458,0.4482,0.6304,2000,174
Grok-4-Fast,PP,Coping,CBT,Spearman_Rho,,,,,2000,174
Grok-4-Fast,PP,Quitting,CBT,Accuracy,0.4253,0.0373,0.3506,0.5000,2000,174
Grok-4-Fast,PP,Quitting,CBT,F1,0.3707,0.0468,0.2761,0.4601,2000,174
Grok-4-Fast,PP,Quitting,CBT,Kappa,0.2048,0.0499,0.1044,0.3023,2000,174
Grok-4-Fast,PP,Quitting,CBT,QWK,0.4944,0.0679,0.3546,0.6148,2000,174
Grok-4-Fast,PP,Quitting,CBT,Directional Accuracy,0.6724,0.0364,0.6034,0.7414,2000,174
Grok-4-Fast,PP,Quitting,CBT,Directional Macro-F1,0.5337,0.0459,0.4414,0.6225,2000,174
Grok-4-Fast,PP,Quitting,CBT,Spearman_Rho,,,,,2000,174
Grok-4-Fast,Hybrid RF+PP,Content,ACT,Accuracy,0.4324,0.0407,0.3514,0.5135,2000,148
Grok-4-Fast,Hybrid RF+PP,Content,ACT,F1,0.2882,0.0385,0.2147,0.3639,2000,148
Grok-4-Fast,Hybrid RF+PP,Content,ACT,Kappa,0.1515,0.0575,0.0401,0.2656,2000,148
Grok-4-Fast,Hybrid RF+PP,Content,ACT,QWK,0.2363,0.0786,0.0911,0.3943,2000,148
Grok-4-Fast,Hybrid RF+PP,Content,ACT,Directional Accuracy,0.7230,0.0371,0.6486,0.7973,2000,148
Grok-4-Fast,Hybrid RF+PP,Content,ACT,Directional Macro-F1,0.4286,0.0482,0.3345,0.5210,2000,148
Grok-4-Fast,Hybrid RF+PP,Content,ACT,Spearman_Rho,,,,,2000,148
Grok-4-Fast,Hybrid RF+PP,Coping,ACT,Accuracy,0.4161,0.0390,0.3423,0.4899,2000,149
Grok-4-Fast,Hybrid RF+PP,Coping,ACT,F1,0.3343,0.0450,0.2412,0.4170,2000,149
Grok-4-Fast,Hybrid RF+PP,Coping,ACT,Kappa,0.1833,0.0514,0.0843,0.2801,2000,149
Grok-4-Fast,Hybrid RF+PP,Coping,ACT,QWK,0.4135,0.0837,0.2389,0.5694,2000,149
Grok-4-Fast,Hybrid RF+PP,Coping,ACT,Directional Accuracy,0.6510,0.0389,0.5705,0.7248,2000,149
Grok-4-Fast,Hybrid RF+PP,Coping,ACT,Directional Macro-F1,0.4306,0.0445,0.3429,0.5159,2000,149
Grok-4-Fast,Hybrid RF+PP,Coping,ACT,Spearman_Rho,,,,,2000,149
Grok-4-Fast,Hybrid RF+PP,Quitting,ACT,Accuracy,0.5235,0.0407,0.4430,0.6040,2000,149
Grok-4-Fast,Hybrid RF+PP,Quitting,ACT,F1,0.4521,0.0467,0.3547,0.5352,2000,149
Grok-4-Fast,Hybrid RF+PP,Quitting,ACT,Kappa,0.3553,0.0518,0.2443,0.4516,2000,149
Grok-4-Fast,Hybrid RF+PP,Quitting,ACT,QWK,0.5746,0.0675,0.4315,0.6948,2000,149
Grok-4-Fast,Hybrid RF+PP,Quitting,ACT,Directional Accuracy,0.7114,0.0374,0.6376,0.7787,2000,149
Grok-4-Fast,Hybrid RF+PP,Quitting,ACT,Directional Macro-F1,0.5494,0.0476,0.4541,0.6368,2000,149
Grok-4-Fast,Hybrid RF+PP,Quitting,ACT,Spearman_Rho,,,,,2000,149
Grok-4-Fast,Hybrid RF+PP,Content,CBT,Accuracy,0.5000,0.0380,0.4253,0.5747,2000,174
Grok-4-Fast,Hybrid RF+PP,Content,CBT,F1,0.3271,0.0387,0.2543,0.4023,2000,174
Grok-4-Fast,Hybrid RF+PP,Content,CBT,Kappa,0.2406,0.0551,0.1318,0.3459,2000,174
Grok-4-Fast,Hybrid RF+PP,Content,CBT,QWK,0.4010,0.0720,0.2550,0.5366,2000,174
Grok-4-Fast,Hybrid RF+PP,Content,CBT,Directional Accuracy,0.7586,0.0326,0.6954,0.8218,2000,174
Grok-4-Fast,Hybrid RF+PP,Content,CBT,Directional Macro-F1,0.4793,0.0553,0.3733,0.5872,2000,174
Grok-4-Fast,Hybrid RF+PP,Content,CBT,Spearman_Rho,,,,,2000,174
Grok-4-Fast,Hybrid RF+PP,Coping,CBT,Accuracy,0.4368,0.0370,0.3621,0.5057,2000,174
Grok-4-Fast,Hybrid RF+PP,Coping,CBT,F1,0.3711,0.0464,0.2746,0.4590,2000,174
Grok-4-Fast,Hybrid RF+PP,Coping,CBT,Kappa,0.2218,0.0496,0.1233,0.3164,2000,174
Grok-4-Fast,Hybrid RF+PP,Coping,CBT,QWK,0.4955,0.0669,0.3588,0.6157,2000,174
Grok-4-Fast,Hybrid RF+PP,Coping,CBT,Directional Accuracy,0.6782,0.0352,0.6092,0.7414,2000,174
Grok-4-Fast,Hybrid RF+PP,Coping,CBT,Directional Macro-F1,0.5211,0.0455,0.4276,0.6057,2000,174
Grok-4-Fast,Hybrid RF+PP,Coping,CBT,Spearman_Rho,,,,,2000,174
Grok-4-Fast,Hybrid RF+PP,Quitting,CBT,Accuracy,0.4598,0.0367,0.3851,0.5345,2000,174
Grok-4-Fast,Hybrid RF+PP,Quitting,CBT,F1,0.3978,0.0470,0.3011,0.4846,2000,174
Grok-4-Fast,Hybrid RF+PP,Quitting,CBT,Kappa,0.2467,0.0504,0.1470,0.3447,2000,174
Grok-4-Fast,Hybrid RF+PP,Quitting,CBT,QWK,0.5230,0.0675,0.3850,0.6447,2000,174
Grok-4-Fast,Hybrid RF+PP,Quitting,CBT,Directional Accuracy,0.6954,0.0345,0.6264,0.7644,2000,174
Grok-4-Fast,Hybrid RF+PP,Quitting,CBT,Directional Macro-F1,0.5497,0.0455,0.4588,0.6371,2000,174
Grok-4-Fast,Hybrid RF+PP,Quitting,CBT,Spearman_Rho,,,,,2000,174
Gemini-2.5-Pro,Zero-shot (select),Content,ACT,Accuracy,0.3548,0.0432,0.2742,0.4435,2000,124
Gemini-2.5-Pro,Zero-shot (select),Content,ACT,F1,0.1675,0.0216,0.1317,0.2163,2000,124
Gemini-2.5-Pro,Zero-shot (select),Content,ACT,Kappa,0.0233,0.0534,-0.0737,0.1290,2000,124
Gemini-2.5-Pro,Zero-shot (select),Content,ACT,QWK,0.0966,0.0657,-0.0353,0.2286,2000,124
Gemini-2.5-Pro,Zero-shot (select),Content,ACT,Directional Accuracy,0.6532,0.0417,0.5726,0.7339,2000,124
Gemini-2.5-Pro,Zero-shot (select),Content,ACT,Directional Macro-F1,0.2660,0.0102,0.2453,0.2848,2000,124
Gemini-2.5-Pro,Zero-shot (select),Content,ACT,Spearman_Rho,0.0556,0.4686,-1.0000,1.0000,2000,124
Gemini-2.5-Pro,Zero-shot (select),Coping,ACT,Accuracy,0.3629,0.0447,0.2823,0.4516,2000,124
Gemini-2.5-Pro,Zero-shot (select),Coping,ACT,F1,0.1826,0.0266,0.1304,0.2347,2000,124
Gemini-2.5-Pro,Zero-shot (select),Coping,ACT,Kappa,0.0655,0.0453,-0.0256,0.1561,2000,124
Gemini-2.5-Pro,Zero-shot (select),Coping,ACT,QWK,0.0899,0.0944,-0.0958,0.2717,2000,124
Gemini-2.5-Pro,Zero-shot (select),Coping,ACT,Directional Accuracy,0.6371,0.0434,0.5565,0.7258,2000,124
Gemini-2.5-Pro,Zero-shot (select),Coping,ACT,Directional Macro-F1,0.3561,0.0450,0.2706,0.4476,2000,124
Gemini-2.5-Pro,Zero-shot (select),Coping,ACT,Spearman_Rho,0.3943,0.4708,-0.9887,1.0000,2000,124
Gemini-2.5-Pro,Zero-shot (select),Quitting,ACT,Accuracy,0.3065,0.0407,0.2339,0.3871,2000,124
Gemini-2.5-Pro,Zero-shot (select),Quitting,ACT,F1,0.1900,0.0336,0.1247,0.2545,2000,124
Gemini-2.5-Pro,Zero-shot (select),Quitting,ACT,Kappa,0.0481,0.0424,-0.0361,0.1329,2000,124
Gemini-2.5-Pro,Zero-shot (select),Quitting,ACT,QWK,0.1224,0.0892,-0.0519,0.2952,2000,124
Gemini-2.5-Pro,Zero-shot (select),Quitting,ACT,Directional Accuracy,0.6048,0.0440,0.5242,0.6855,2000,124
Gemini-2.5-Pro,Zero-shot (select),Quitting,ACT,Directional Macro-F1,0.3800,0.0473,0.2888,0.4739,2000,124
Gemini-2.5-Pro,Zero-shot (select),Quitting,ACT,Spearman_Rho,0.7500,0.3061,0.0000,1.0000,2000,124
Gemini-2.5-Pro,Zero-shot (select),Content,CBT,Accuracy,0.4000,0.0410,0.3200,0.4867,2000,150
Gemini-2.5-Pro,Zero-shot (select),Content,CBT,F1,0.2199,0.0317,0.1745,0.3031,2000,150
Gemini-2.5-Pro,Zero-shot (select),Content,CBT,Kappa,0.0975,0.0551,-0.0081,0.2061,2000,150
Gemini-2.5-Pro,Zero-shot (select),Content,CBT,QWK,0.0606,0.0830,-0.0972,0.2254,2000,150
Gemini-2.5-Pro,Zero-shot (select),Content,CBT,Directional Accuracy,0.6733,0.0380,0.6000,0.7467,2000,150
Gemini-2.5-Pro,Zero-shot (select),Content,CBT,Directional Macro-F1,0.3274,0.0289,0.2751,0.3864,2000,150
Gemini-2.5-Pro,Zero-shot (select),Content,CBT,Spearman_Rho,0.2195,0.3562,-0.5000,1.0000,2000,150
Gemini-2.5-Pro,Zero-shot (select),Coping,CBT,Accuracy,0.3067,0.0380,0.2333,0.3800,2000,150
Gemini-2.5-Pro,Zero-shot (select),Coping,CBT,F1,0.2170,0.0401,0.1398,0.3000,2000,150
Gemini-2.5-Pro,Zero-shot (select),Coping,CBT,Kappa,0.0308,0.0440,-0.0531,0.1184,2000,150
Gemini-2.5-Pro,Zero-shot (select),Coping,CBT,QWK,0.0036,0.0930,-0.1718,0.1996,2000,150
Gemini-2.5-Pro,Zero-shot (select),Coping,CBT,Directional Accuracy,0.4800,0.0406,0.4000,0.5600,2000,150
Gemini-2.5-Pro,Zero-shot (select),Coping,CBT,Directional Macro-F1,0.3382,0.0408,0.2611,0.4202,2000,150
Gemini-2.5-Pro,Zero-shot (select),Coping,CBT,Spearman_Rho,-0.3571,0.3107,-1.0000,0.2500,2000,150
Gemini-2.5-Pro,Zero-shot (select),Quitting,CBT,Accuracy,0.2667,0.0353,0.2000,0.3333,2000,150
Gemini-2.5-Pro,Zero-shot (select),Quitting,CBT,F1,0.2241,0.0411,0.1425,0.3037,2000,150
Gemini-2.5-Pro,Zero-shot (select),Quitting,CBT,Kappa,-0.0004,0.0437,-0.0850,0.0854,2000,150
Gemini-2.5-Pro,Zero-shot (select),Quitting,CBT,QWK,0.0872,0.0926,-0.0969,0.2715,2000,150
Gemini-2.5-Pro,Zero-shot (select),Quitting,CBT,Directional Accuracy,0.4800,0.0402,0.4000,0.5600,2000,150
Gemini-2.5-Pro,Zero-shot (select),Quitting,CBT,Directional Macro-F1,0.3563,0.0423,0.2757,0.4388,2000,150
Gemini-2.5-Pro,Zero-shot (select),Quitting,CBT,Spearman_Rho,-0.0961,0.3009,-0.6667,0.5237,2000,150
Gemini-2.5-Pro,Few-shot (select),Content,ACT,Accuracy,0.3629,0.0423,0.2823,0.4435,2000,124
Gemini-2.5-Pro,Few-shot (select),Content,ACT,F1,0.2300,0.0338,0.1675,0.2986,2000,124
Gemini-2.5-Pro,Few-shot (select),Content,ACT,Kappa,0.0970,0.0537,-0.0105,0.2040,2000,124
Gemini-2.5-Pro,Few-shot (select),Content,ACT,QWK,0.1277,0.1013,-0.0662,0.3279,2000,124
Gemini-2.5-Pro,Few-shot (select),Content,ACT,Directional Accuracy,0.6210,0.0437,0.5323,0.7016,2000,124
Gemini-2.5-Pro,Few-shot (select),Content,ACT,Directional Macro-F1,0.3837,0.0478,0.2908,0.4786,2000,124
Gemini-2.5-Pro,Few-shot (select),Content,ACT,Spearman_Rho,0.0074,0.2751,-0.5333,0.5334,2000,124
Gemini-2.5-Pro,Few-shot (select),Coping,ACT,Accuracy,0.2661,0.0389,0.1935,0.3468,2000,124
Gemini-2.5-Pro,Few-shot (select),Coping,ACT,F1,0.2243,0.0388,0.1496,0.2981,2000,124
Gemini-2.5-Pro,Few-shot (select),Coping,ACT,Kappa,0.0227,0.0485,-0.0709,0.1203,2000,124
Gemini-2.5-Pro,Few-shot (select),Coping,ACT,QWK,0.1188,0.0893,-0.0510,0.2931,2000,124
Gemini-2.5-Pro,Few-shot (select),Coping,ACT,Directional Accuracy,0.4516,0.0438,0.3710,0.5403,2000,124
Gemini-2.5-Pro,Few-shot (select),Coping,ACT,Directional Macro-F1,0.3129,0.0380,0.2424,0.3875,2000,124
Gemini-2.5-Pro,Few-shot (select),Coping,ACT,Spearman_Rho,-0.0480,0.2724,-0.5335,0.5311,2000,124
Gemini-2.5-Pro,Few-shot (select),Quitting,ACT,Accuracy,0.3226,0.0417,0.2419,0.4113,2000,124
Gemini-2.5-Pro,Few-shot (select),Quitting,ACT,F1,0.2786,0.0442,0.1926,0.3633,2000,124
Gemini-2.5-Pro,Few-shot (select),Quitting,ACT,Kappa,0.0991,0.0533,-0.0018,0.2024,2000,124
Gemini-2.5-Pro,Few-shot (select),Quitting,ACT,QWK,0.2493,0.0911,0.0698,0.4220,2000,124
Gemini-2.5-Pro,Few-shot (select),Quitting,ACT,Directional Accuracy,0.5806,0.0437,0.5000,0.6613,2000,124
Gemini-2.5-Pro,Few-shot (select),Quitting,ACT,Directional Macro-F1,0.4305,0.0468,0.3400,0.5209,2000,124
Gemini-2.5-Pro,Few-shot (select),Quitting,ACT,Spearman_Rho,0.1944,0.2659,-0.3333,0.7125,2000,124
Gemini-2.5-Pro,Few-shot (select),Content,CBT,Accuracy,0.3867,0.0399,0.3132,0.4667,2000,150
Gemini-2.5-Pro,Few-shot (select),Content,CBT,F1,0.2993,0.0566,0.1945,0.4072,2000,150
