Model,Method,Domain,Category,Metric,Value,SE,CI_Lower,CI_Upper,Bootstrap_N,N
GPT-4o-mini,PP,Content,ACT,Directional Macro-F1,0.3588,0.0335,0.2939,0.4272,2000,148
GPT-4o-mini,PP,Content,ACT,Spearman_Rho,-1.0000,0.0000,-1.0000,-1.0000,2000,148
GPT-4o-mini,PP,Coping,ACT,Accuracy,0.3691,0.0394,0.2886,0.4497,2000,149
GPT-4o-mini,PP,Coping,ACT,F1,0.2107,0.0225,0.1665,0.2539,2000,149
GPT-4o-mini,PP,Coping,ACT,Kappa,0.1541,0.0407,0.0769,0.2354,2000,149
GPT-4o-mini,PP,Coping,ACT,QWK,0.2615,0.0639,0.1289,0.3789,2000,149
GPT-4o-mini,PP,Coping,ACT,Directional Accuracy,0.5302,0.0419,0.4430,0.6107,2000,149
GPT-4o-mini,PP,Coping,ACT,Directional Macro-F1,0.4019,0.0421,0.3209,0.4838,2000,149
GPT-4o-mini,PP,Coping,ACT,Spearman_Rho,0.0000,0.8744,-1.0000,1.0000,2000,149
GPT-4o-mini,PP,Quitting,ACT,Accuracy,0.3221,0.0388,0.2416,0.3960,2000,149
GPT-4o-mini,PP,Quitting,ACT,F1,0.2024,0.0288,0.1446,0.2549,2000,149
GPT-4o-mini,PP,Quitting,ACT,Kappa,0.1052,0.0378,0.0309,0.1772,2000,149
GPT-4o-mini,PP,Quitting,ACT,QWK,0.2431,0.0633,0.1225,0.3693,2000,149
GPT-4o-mini,PP,Quitting,ACT,Directional Accuracy,0.6107,0.0412,0.5302,0.6913,2000,149
GPT-4o-mini,PP,Quitting,ACT,Directional Macro-F1,0.4301,0.0427,0.3462,0.5124,2000,149
GPT-4o-mini,PP,Quitting,ACT,Spearman_Rho,-1.0000,0.0000,-1.0000,-1.0000,2000,149
GPT-4o-mini,PP,Content,CBT,Accuracy,0.4080,0.0371,0.3391,0.4828,2000,174
GPT-4o-mini,PP,Content,CBT,F1,0.2177,0.0217,0.1758,0.2605,2000,174
GPT-4o-mini,PP,Content,CBT,Kappa,0.1167,0.0417,0.0383,0.1996,2000,174
GPT-4o-mini,PP,Content,CBT,QWK,0.2792,0.0642,0.1532,0.4018,2000,174
GPT-4o-mini,PP,Content,CBT,Directional Accuracy,0.7471,0.0338,0.6839,0.8161,2000,174
GPT-4o-mini,PP,Content,CBT,Directional Macro-F1,0.4343,0.0294,0.3766,0.4898,2000,174
GPT-4o-mini,PP,Content,CBT,Spearman_Rho,,,,,2000,174
GPT-4o-mini,PP,Coping,CBT,Accuracy,0.2931,0.0344,0.2299,0.3621,2000,174
GPT-4o-mini,PP,Coping,CBT,F1,0.2001,0.0284,0.1451,0.2548,2000,174
GPT-4o-mini,PP,Coping,CBT,Kappa,0.0690,0.0364,-0.0026,0.1407,2000,174
GPT-4o-mini,PP,Coping,CBT,QWK,0.2452,0.0495,0.1515,0.3403,2000,174
GPT-4o-mini,PP,Coping,CBT,Directional Accuracy,0.4828,0.0382,0.4023,0.5575,2000,174
GPT-4o-mini,PP,Coping,CBT,Directional Macro-F1,0.4056,0.0411,0.3235,0.4841,2000,174
GPT-4o-mini,PP,Coping,CBT,Spearman_Rho,,,,,2000,174
GPT-4o-mini,PP,Quitting,CBT,Accuracy,0.3276,0.0355,0.2644,0.3966,2000,174
GPT-4o-mini,PP,Quitting,CBT,F1,0.2168,0.0279,0.1608,0.2706,2000,174
GPT-4o-mini,PP,Quitting,CBT,Kappa,0.0905,0.0397,0.0156,0.1701,2000,174
GPT-4o-mini,PP,Quitting,CBT,QWK,0.2874,0.0636,0.1641,0.4094,2000,174
GPT-4o-mini,PP,Quitting,CBT,Directional Accuracy,0.5862,0.0374,0.5171,0.6609,2000,174
GPT-4o-mini,PP,Quitting,CBT,Directional Macro-F1,0.4842,0.0440,0.3962,0.5699,2000,174
GPT-4o-mini,PP,Quitting,CBT,Spearman_Rho,,,,,2000,174
GPT-4o-mini,Hybrid RF+PP,Content,ACT,Accuracy,0.4392,0.0411,0.3581,0.5203,2000,148
GPT-4o-mini,Hybrid RF+PP,Content,ACT,F1,0.2593,0.0274,0.2060,0.3128,2000,148
GPT-4o-mini,Hybrid RF+PP,Content,ACT,Kappa,0.1544,0.0557,0.0489,0.2670,2000,148
GPT-4o-mini,Hybrid RF+PP,Content,ACT,QWK,0.2219,0.0696,0.0834,0.3573,2000,148
