k_train,feature_set,domain,train_n,test_n,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho,N
5,Embedding,quitting,1483,1484,0.3194070080862534,0.2236541605237551,0.051457740431135934,0.10186471921010154,0.5822102425876011,0.35553100538000654,0.009041738766397701,1484
5,Embedding+Demo,content,1483,1484,0.3389487870619946,0.20649875480653415,0.02963801824872736,0.06834545498137712,0.6226415094339622,0.33923526982342733,-0.014985246938653256,1484
5,Embedding+Demo,coping,1483,1484,0.3146900269541779,0.21611671685937556,0.044670872686968455,0.08165823337528566,0.5626684636118598,0.33958200469748684,0.07022910921235181,1484
5,Embedding+Demo,quitting,1483,1484,0.3194070080862534,0.21469432593550336,0.05176558712034929,0.10738279869029244,0.5774932614555256,0.3464440404715438,0.02580758571762339,1484
5,Demographics + History + Message Embedding,content,1483,1484,0.36522911051212936,0.22212818633125142,0.06646410075761877,0.1531536322772652,0.6549865229110512,0.3625115288237874,-0.004840785367698675,1484
5,Demographics + History + Message Embedding,coping,1483,1484,0.3477088948787062,0.24947729417838937,0.09207766163126319,0.18476400716940233,0.5923180592991913,0.3783577239535303,0.04375159170213701,1484
5,Demographics + History + Message Embedding,quitting,1483,1484,0.341644204851752,0.2520167291114964,0.08270804177664648,0.2023110485219599,0.605121293800539,0.3797543403063887,2.0723424943097693e-05,1484
7,Demographics,content,2107,898,0.5233853006681515,0.3931246590310406,0.31771639565433507,0.4486528576530735,0.7115812917594655,0.5305817680872242,,898
7,Demographics,coping,2107,898,0.44988864142538976,0.40681416219036726,0.2662282239762871,0.5431584666298503,0.6481069042316259,0.5359174690399868,,898
7,Demographics,quitting,2107,898,0.44988864142538976,0.40831776306745143,0.2662282239762871,0.5887656470777807,0.6859688195991092,0.5750358883061379,,898
7,Avg-History,content,2107,898,0.4977728285077951,0.32909975290174265,0.2742699657382055,0.47930614432587826,0.7193763919821826,0.4708167110782517,,898
7,Avg-History,coping,2107,898,0.4287305122494432,0.3818143540565657,0.2289832950899514,0.5661469010613702,0.6926503340757239,0.5537228981910022,,898
7,Avg-History,quitting,2107,898,0.45879732739420936,0.40136905185760796,0.26742973970581574,0.5946544728307803,0.6948775055679287,0.5567663256154457,,898
7,Demo+History,content,2107,898,0.49888641425389757,0.34891556713952543,0.2860953780814851,0.4748150063408809,0.7015590200445434,0.5243266897402236,,898
7,Demo+History,coping,2107,898,0.4198218262806236,0.37076955754486063,0.22890887155787898,0.5535783295383414,0.6481069042316259,0.5507132237330318,,898
7,Demo+History,quitting,2107,898,0.4198218262806236,0.3854601555797635,0.2314106744775538,0.6171103401316429,0.6815144766146993,0.5726262111167771,,898
7,Embedding,content,2084,883,0.3352208380520951,0.20310520348237718,0.0209681501713187,0.050055665476444466,0.6398640996602492,0.3483892273761515,-0.054344738131440556,883
7,Embedding,coping,2084,883,0.3352208380520951,0.24126260662868565,0.07789948212891085,0.0972703758070147,0.579841449603624,0.3698948467058056,-0.038688558491018286,883
7,Embedding,quitting,2084,883,0.2944507361268403,0.20950233184693903,0.01505238883040061,0.0669491724763106,0.5855039637599094,0.35917365419590475,-0.15836030141115734,883
7,Embedding+Demo,content,2084,883,0.3567383918459796,0.2218897184228063,0.05275762165755704,0.08056773476735013,0.6466591166477916,0.36136024836636643,-0.05240385462674624,883
7,Embedding+Demo,coping,2084,883,0.3171007927519819,0.22910400967954353,0.05173820124666062,0.11719617862697174,0.5741789354473387,0.3539173236776986,0.012913568756164968,883
7,Embedding+Demo,quitting,2084,883,0.2944507361268403,0.21080380272711494,0.014388863009280883,0.07953112356847625,0.5900339750849377,0.3635263662311086,-0.07175776103271347,883
7,Demographics + History + Message Embedding,content,2084,883,0.38391845979614947,0.2541739781706303,0.09510963755557222,0.17870059527929671,0.6602491506228766,0.3885042688791775,-0.07029137097789888,883
7,Demographics + History + Message Embedding,coping,2084,883,0.3635334088335221,0.26150336822143233,0.1157586005976361,0.2115678395481888,0.609286523216308,0.399215448925629,0.05131446402368293,883
7,Demographics + History + Message Embedding,quitting,2084,883,0.34428086070215175,0.24590178236009655,0.09006336097960366,0.24555318810678217,0.6206115515288788,0.40822635044970895,-0.011411628856767704,883
