k_train,method_group,feature_set,model,domain,covered_n,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho,N
5,Generic LLM,Few-shot,Gemini-2.5-Pro,quitting,153,0.35947712418300654,0.2638227660363367,0.13489499192245558,0.23180089591425213,0.6274509803921569,0.4613756613756614,-0.9999999999999999,153
5,Generic LLM,Zero-shot,Grok-4-Fast,content,153,0.39215686274509803,0.19014637980155222,0.03434000678656268,0.09569377990430628,0.738562091503268,0.3058167885754093,0.9999999999999999,153
5,Generic LLM,Zero-shot,Grok-4-Fast,coping,153,0.3333333333333333,0.1924752778255963,0.06707317073170738,0.14268479047695648,0.6013071895424836,0.40673085333279513,0.9999999999999999,153
5,Generic LLM,Zero-shot,Grok-4-Fast,quitting,153,0.28104575163398693,0.1577984817115252,0.05252491133254511,0.1373835001725925,0.5098039215686274,0.3515908081445636,0.9999999999999999,153
5,Generic LLM,Few-shot,Grok-4-Fast,content,153,0.39869281045751637,0.18913139199411158,0.07003171247357298,0.1384083044982699,0.7189542483660131,0.30464225251715227,-0.3333333333333333,153
5,Generic LLM,Few-shot,Grok-4-Fast,coping,153,0.32679738562091504,0.18503492785595857,0.051405525793053686,0.09496515040352171,0.6143790849673203,0.3954882677708764,-0.9999999999999999,153
5,Generic LLM,Few-shot,Grok-4-Fast,quitting,153,0.39215686274509803,0.2854413886766828,0.14200434153400865,0.2527537235885001,0.673202614379085,0.4421052631578948,-0.3333333333333333,153
5,Generic LLM,Zero-shot,DeepSeek-R1,content,153,0.29411764705882354,0.1396370871941079,-0.02805947862875624,0.0547945205479452,0.5751633986928104,0.3119767416442608,,153
5,Generic LLM,Zero-shot,DeepSeek-R1,coping,153,0.1895424836601307,0.12128974473802061,-0.012325916439891227,0.018764845605700686,0.27450980392156865,0.25606070972450284,-0.9999999999999999,153
5,Generic LLM,Zero-shot,DeepSeek-R1,quitting,153,0.12418300653594772,0.09896130623022112,-0.010100014780509481,0.03150678387158423,0.2222222222222222,0.22230416256964927,0.3333333333333333,153
5,Generic LLM,Few-shot,DeepSeek-R1,content,153,0.35294117647058826,0.22312288436750868,0.0792656981338522,0.0735785953177257,0.5686274509803921,0.3354334339594314,-0.9999999999999999,153
5,Generic LLM,Few-shot,DeepSeek-R1,coping,153,0.20915032679738563,0.1775960994249453,-0.005758678763513991,0.11646809028576077,0.40522875816993464,0.3239227922272197,-0.9999999999999999,153
5,Generic LLM,Few-shot,DeepSeek-R1,quitting,153,0.3202614379084967,0.2754183022243585,0.12209655172413802,0.10970823154832154,0.49673202614379086,0.41250885394531805,-0.9999999999999999,153
7,Generic LLM,Zero-shot,GPT-4o-mini,content,87,0.41379310344827586,0.14290598290598291,0.032068062827225186,0.0021505376344085336,0.6896551724137931,0.272108843537415,-0.9999999999999999,87
7,Generic LLM,Zero-shot,GPT-4o-mini,coping,87,0.28735632183908044,0.15090196078431373,0.06076963259620405,0.009931719428926122,0.47126436781609193,0.3053397459612776,,87
7,Generic LLM,Zero-shot,GPT-4o-mini,quitting,87,0.3448275862068966,0.17440993788819875,0.09242313323572471,0.0016590626296143496,0.5862068965517241,0.3233970753655793,,87
7,Generic LLM,Few-shot,GPT-4o-mini,content,87,0.39080459770114945,0.17540453074433654,0.022264631043256933,-0.050982800982800835,0.6896551724137931,0.30301039956212367,,87
7,Generic LLM,Few-shot,GPT-4o-mini,coping,87,0.3103448275862069,0.1701891551071879,0.11420329204140511,-0.015744879578357462,0.4367816091954023,0.3037340619307833,,87
7,Generic LLM,Few-shot,GPT-4o-mini,quitting,87,0.3333333333333333,0.22872769869337378,0.07650073206442165,-0.0021456804065500545,0.5747126436781609,0.3545863991081382,,87
7,Generic LLM,Zero-shot,GPT-5,content,87,0.42528735632183906,0.1677715451300357,0.0791701947502117,0.023690773067331694,0.6781609195402298,0.27505827505827507,-0.9999999999999999,87
7,Generic LLM,Zero-shot,GPT-5,coping,87,0.25287356321839083,0.18253968253968253,0.05101527101862724,0.08635963625696685,0.42528735632183906,0.35815602836879434,-0.9999999999999999,87
7,Generic LLM,Zero-shot,GPT-5,quitting,87,0.11494252873563218,0.0909560723514212,-0.009037505648440858,0.021629246502879895,0.1724137931034483,0.17684948375485463,,87
7,Generic LLM,Few-shot,GPT-5,content,87,0.40229885057471265,0.22578319835737642,0.08827085852478855,0.022632226322263138,0.6551724137931034,0.3556356150283067,,87
7,Generic LLM,Few-shot,GPT-5,coping,87,0.28735632183908044,0.2256551724137931,0.11443112789361354,0.029897258606417676,0.41379310344827586,0.3799036918138042,-0.9999999999999999,87
7,Generic LLM,Few-shot,GPT-5,quitting,87,0.21839080459770116,0.17398223964940607,0.045190445448676564,-0.019745739789017946,0.3563218390804598,0.30570800136017523,,87
7,Generic LLM,Zero-shot,Gemini-2.5-Pro,content,87,0.3218390804597701,0.20058823529411765,-0.027421937550040187,0.05611672278338942,0.6781609195402298,0.33100233100233095,-0.9999999999999999,87
7,Generic LLM,Zero-shot,Gemini-2.5-Pro,coping,87,0.2988505747126437,0.16080586080586082,0.014850566177835534,0.05303987010644062,0.5862068965517241,0.3118881118881119,-0.9999999999999999,87
7,Generic LLM,Zero-shot,Gemini-2.5-Pro,quitting,87,0.3103448275862069,0.17027623539251446,0.0162080663399925,0.007803121248499467,0.6091954022988506,0.2904524994077233,,87
7,Generic LLM,Few-shot,Gemini-2.5-Pro,content,87,0.39080459770114945,0.2994035038932147,0.14102086438152006,0.15000910249408328,0.6436781609195402,0.43877893968638065,,87
7,Generic LLM,Few-shot,Gemini-2.5-Pro,coping,87,0.25287356321839083,0.1974055613116407,0.02617530566557591,0.13189340122366855,0.5172413793103449,0.400664767331434,,87
7,Generic LLM,Few-shot,Gemini-2.5-Pro,quitting,87,0.3333333333333333,0.23324023646604292,0.09731663685152048,0.10061050061050059,0.5862068965517241,0.3932747212906735,,87
7,Generic LLM,Zero-shot,Grok-4-Fast,content,87,0.40229885057471265,0.187816091954023,0.062189054726368154,0.07864583333333319,0.6896551724137931,0.272108843537415,-0.9999999999999999,87
7,Generic LLM,Zero-shot,Grok-4-Fast,coping,87,0.3563218390804598,0.20639051808406647,0.11062431544359252,0.04450867052023122,0.6091954022988506,0.39389187574671447,,87
7,Generic LLM,Zero-shot,Grok-4-Fast,quitting,87,0.3103448275862069,0.18035010620376474,0.07117437722419928,-0.008330315103223462,0.5517241379310345,0.33983193277310925,,87
7,Generic LLM,Few-shot,Grok-4-Fast,content,87,0.3218390804597701,0.16776556776556775,-0.019666269368295408,0.10865800865800856,0.7011494252873564,0.30952380952380953,,87
7,Generic LLM,Few-shot,Grok-4-Fast,coping,87,0.3218390804597701,0.20683158656721115,0.06842105263157883,0.15073529411764708,0.6091954022988506,0.4131276405931761,-0.9999999999999999,87
7,Generic LLM,Few-shot,Grok-4-Fast,quitting,87,0.39080459770114945,0.26900658540002803,0.12288377401559814,0.20025967281225654,0.6666666666666666,0.3706972745874348,,87
7,Generic LLM,Zero-shot,DeepSeek-R1,content,87,0.367816091954023,0.1623391812865497,0.04643284176962925,-0.05396475770925102,0.5862068965517241,0.32275132275132273,0.9999999999999999,87
7,Generic LLM,Zero-shot,DeepSeek-R1,coping,87,0.13793103448275862,0.10765377679823682,-0.03554991271226804,-0.04184659217379694,0.25287356321839083,0.24796747967479674,,87
