k_train,feature_set,ensemble,domain,N,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho
1,Embedding,RF only,quitting,2670,0.300749063670412,0.20752980099796278,0.031378397415656734,0.05541286812826307,0.5569288389513108,0.3419169885302118,-0.0033080900072172807
1,Embedding,LLM only,content,2670,0.46179775280898877,0.32654177386144023,0.22598688039501247,0.34927674531961195,0.6805243445692883,0.47533088285022523,0.055927360335984756
1,Embedding,LLM only,coping,2670,0.3921348314606742,0.3494484862437645,0.18780187464506015,0.4283337014081132,0.6093632958801498,0.5097306046018555,0.05438840436496224
1,Embedding,LLM only,quitting,2670,0.40149812734082396,0.35725837370640934,0.20592593585186714,0.4756257128685666,0.6273408239700374,0.5236405591173452,0.0759084827993412
1,Embedding,Mean (50/50),content,2670,0.3853932584269663,0.23398886184445225,0.09307534532818307,0.19028249998300317,0.6797752808988764,0.3847217616888579,0.015750228756555743
1,Embedding,Mean (50/50),coping,2670,0.34344569288389515,0.22002471734477785,0.08515157562538611,0.23656927041602693,0.6022471910112359,0.40570600195477136,0.005728627783456074
1,Embedding,Mean (50/50),quitting,2670,0.3561797752808989,0.24561979977817544,0.10793373443043852,0.2880501931218208,0.6194756554307116,0.40622517208563763,0.016921057242768073
1,Embedding,RF-anchor 70/30,content,2670,0.3441947565543071,0.2189265777491633,0.04020935198318387,0.15179917064715553,0.6258426966292134,0.3563745881736291,0.012143852851579628
1,Embedding,RF-anchor 70/30,coping,2670,0.3138576779026217,0.22310944879659558,0.0575861154134486,0.19052209792057895,0.5404494382022472,0.3679234477078787,0.0033875039266903846
1,Embedding,RF-anchor 70/30,quitting,2670,0.32397003745318353,0.23530179935071197,0.06697108420579434,0.22920498111586285,0.5790262172284644,0.37745453020934333,0.012088086261458067
1,Embedding,LLM-anchor 30/70,content,2670,0.4355805243445693,0.29022263808583915,0.17634983919775538,0.3014484290157273,0.6734082397003746,0.42798643518026824,0.0204718439247575
1,Embedding,LLM-anchor 30/70,coping,2670,0.36816479400749064,0.2783516710543089,0.14031670342606772,0.35494266169517175,0.5902621722846442,0.4526071824003861,0.03984707937816408
1,Embedding,LLM-anchor 30/70,quitting,2670,0.3842696629213483,0.3036317970575437,0.1645834288910616,0.3919934558046855,0.6172284644194757,0.47110978225672345,0.022151091544679813
1,Embedding+Demo,RF only,content,2670,0.3194756554307116,0.20606829050174397,0.013049444261916676,0.04390701889798143,0.5771535580524345,0.33315501013771415,-0.006248609632047718
1,Embedding+Demo,RF only,coping,2670,0.28801498127340824,0.2027805937041439,0.021988575251465026,0.04590133025316556,0.5202247191011236,0.3348955666719127,0.015443378388298576
1,Embedding+Demo,RF only,quitting,2670,0.29213483146067415,0.19400312961136482,0.015336308222389738,0.03334502603963485,0.5546816479400749,0.32965909735137017,-0.03363575309461119
1,Embedding+Demo,LLM only,content,2670,0.46179775280898877,0.32654177386144023,0.22598688039501247,0.34927674531961195,0.6805243445692883,0.47533088285022523,0.055927360335984756
1,Embedding+Demo,LLM only,coping,2670,0.3921348314606742,0.3494484862437645,0.18780187464506015,0.4283337014081132,0.6093632958801498,0.5097306046018555,0.05438840436496224
1,Embedding+Demo,LLM only,quitting,2670,0.40149812734082396,0.35725837370640934,0.20592593585186714,0.4756257128685666,0.6273408239700374,0.5236405591173452,0.0759084827993412
1,Embedding+Demo,Mean (50/50),content,2670,0.38764044943820225,0.23574105172293733,0.09788815999520573,0.20546692003769862,0.6827715355805244,0.3916688956676519,0.011023468420253844
1,Embedding+Demo,Mean (50/50),coping,2670,0.3382022471910112,0.2167014668383352,0.07812568695208699,0.2461896208930765,0.6041198501872659,0.40842307221348567,0.030284567577115794
1,Embedding+Demo,Mean (50/50),quitting,2670,0.3554307116104869,0.2380868445116718,0.10295271451743992,0.2676534948335664,0.6183520599250937,0.39370420863437944,-0.0037606586719196367
1,Embedding+Demo,RF-anchor 70/30,content,2670,0.34344569288389515,0.2175751982669854,0.04048192079508317,0.15371614541152834,0.6202247191011236,0.35347366297290783,0.009712486085080931
1,Embedding+Demo,RF-anchor 70/30,coping,2670,0.3086142322097378,0.2167155650010665,0.050249402939806176,0.2017231388130084,0.5460674157303371,0.3691112358109832,0.007973607233113265
1,Embedding+Demo,RF-anchor 70/30,quitting,2670,0.3209737827715356,0.22906916610890846,0.05779685264663792,0.21591075379914948,0.5797752808988764,0.3650030115482847,-0.017579104046322225
1,Embedding+Demo,LLM-anchor 30/70,content,2670,0.4355805243445693,0.2897243241746617,0.17677112699181385,0.3003425863258058,0.6786516853932584,0.432270392054884,0.028846415782617686
1,Embedding+Demo,LLM-anchor 30/70,coping,2670,0.37265917602996257,0.28288547604785386,0.14574133263397038,0.3530760647034755,0.5970037453183521,0.4588377172516053,0.06136608298865762
