k_train,method_group,model,domain,covered_n,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho,N
0,"LLM-PP (cbtact, Excel-7)",GPT-5,content,892,0.492152466367713,0.3532263762025953,0.2672401912070854,0.41523552355235527,0.7107623318385651,0.5173514089526381,0.008133897861876415,892
0,"LLM-PP (cbtact, Excel-7)",GPT-5,coping,892,0.4147982062780269,0.3947934950414326,0.2127854900309899,0.46234752525192346,0.625560538116592,0.5253855012924494,-0.09757648808375576,892
0,"LLM-PP (cbtact, Excel-7)",GPT-5,quitting,892,0.4316143497757848,0.4123330410939248,0.2484570106721351,0.5373776668799931,0.6535874439461884,0.5575900804847348,0.027870884204619185,892
1,"LLM-PP (cbtact, Excel-7)",GPT-5,content,790,0.4936708860759494,0.357430180113106,0.26769128089137717,0.4191187845249774,0.7189873417721518,0.5181045799006225,-0.0012639112850524607,790
1,"LLM-PP (cbtact, Excel-7)",GPT-5,coping,790,0.4177215189873418,0.39832648624645434,0.21689304362254858,0.4666874122809802,0.6303797468354431,0.5297314740654868,-0.09841978622253203,790
1,"LLM-PP (cbtact, Excel-7)",GPT-5,quitting,790,0.43670886075949367,0.42006243878501087,0.25286061615886835,0.5482827509592136,0.660759493670886,0.5630458755331751,0.07899053326514525,790
3,"LLM-PP (cbtact, Excel-7)",GPT-5,content,628,0.5,0.36121252526591496,0.2758041947769114,0.4406911326491598,0.7181528662420382,0.5166184932848423,-0.009720875853558509,628
3,"LLM-PP (cbtact, Excel-7)",GPT-5,coping,628,0.41878980891719747,0.41035307185236836,0.2184340722101179,0.45363801548427873,0.6337579617834395,0.5379333250463533,-0.06495944289575956,628
3,"LLM-PP (cbtact, Excel-7)",GPT-5,quitting,628,0.428343949044586,0.4137556760847829,0.24144892232532789,0.535042448960287,0.6464968152866242,0.5498430984221737,-0.012195121951219502,628
5,"LLM-PP (cbtact, Excel-7)",GPT-5,content,439,0.5284738041002278,0.3541084612524566,0.31608101090531415,0.4430767657594611,0.7403189066059226,0.5327459356956422,0.15334936490538903,439
5,"LLM-PP (cbtact, Excel-7)",GPT-5,coping,439,0.4168564920273349,0.40672968891339273,0.20462571746038494,0.47107068168713473,0.6355353075170843,0.5260025261933537,-0.12222222222222218,439
5,"LLM-PP (cbtact, Excel-7)",GPT-5,quitting,439,0.42596810933940776,0.41845490646427147,0.2389692225142055,0.5484643543157309,0.6469248291571754,0.5465510594799345,0.03502629240472919,439
7,"LLM-PP (cbtact, Excel-7)",GPT-5,content,265,0.4867924528301887,0.34505168191570357,0.2558331612636796,0.4168544468699388,0.7094339622641509,0.5376114081996435,0.26054776398040347,265
7,"LLM-PP (cbtact, Excel-7)",GPT-5,coping,265,0.41132075471698115,0.3953504135203164,0.20965090047030943,0.48708763300005353,0.6226415094339622,0.5120079215572623,0.11538461538461535,265
7,"LLM-PP (cbtact, Excel-7)",GPT-5,quitting,265,0.4679245283018868,0.46588382225310265,0.2950266027697068,0.5918736227003739,0.6943396226415094,0.6007576003603973,0.49999999999999994,265
0,"LLM-PP (cbtact, Excel-7)",Gemini-2.5-Pro,content,892,0.47533632286995514,0.37124684827976895,0.2398986910313159,0.38466735779087813,0.7062780269058296,0.5080827714598911,0.04421768707482992,892
0,"LLM-PP (cbtact, Excel-7)",Gemini-2.5-Pro,coping,892,0.42376681614349776,0.3861803183338627,0.21841353398839436,0.4186883483305792,0.6278026905829597,0.4898069120490243,-0.10602563509461098,892
0,"LLM-PP (cbtact, Excel-7)",Gemini-2.5-Pro,quitting,892,0.452914798206278,0.3991566592578196,0.2588751074751636,0.4791897504627818,0.655829596412556,0.5242161106729617,-0.016511630337443316,892
1,"LLM-PP (cbtact, Excel-7)",Gemini-2.5-Pro,content,790,0.4860759493670886,0.39024182601976254,0.2517717756948301,0.41258549286499835,0.7227848101265822,0.5263721798508897,0.09393409424615237,790
1,"LLM-PP (cbtact, Excel-7)",Gemini-2.5-Pro,coping,790,0.4215189873417722,0.3856939390987578,0.21611158516858708,0.4283338291525627,0.6265822784810127,0.4887841757511846,-0.0656742622502551,790
1,"LLM-PP (cbtact, Excel-7)",Gemini-2.5-Pro,quitting,790,0.4506329113924051,0.39820818473818254,0.25335691046641784,0.4952412194656529,0.6632911392405063,0.5296793905384347,0.08188452658312594,790
3,"LLM-PP (cbtact, Excel-7)",Gemini-2.5-Pro,content,628,0.47611464968152867,0.3798691526492468,0.2363852741055028,0.3814546715274787,0.7117834394904459,0.505778661124573,0.020090331732171843,628
3,"LLM-PP (cbtact, Excel-7)",Gemini-2.5-Pro,coping,628,0.4267515923566879,0.39793978063374646,0.22259053959258912,0.39805877867836503,0.6305732484076433,0.49614080920603837,-0.09083595702700697,628
3,"LLM-PP (cbtact, Excel-7)",Gemini-2.5-Pro,quitting,628,0.4601910828025478,0.40926026586148445,0.26693616698919476,0.467191287971063,0.6544585987261147,0.5253785044256484,-0.11810897178026562,628
5,"LLM-PP (cbtact, Excel-7)",Gemini-2.5-Pro,content,439,0.48519362186788156,0.33359662019652186,0.24719825787409033,0.3884201107700671,0.7334851936218679,0.523173594763827,0.1554010122828376,439
5,"LLM-PP (cbtact, Excel-7)",Gemini-2.5-Pro,coping,439,0.4145785876993166,0.3777309855351085,0.19615401057326487,0.4338047688283807,0.6492027334851936,0.5044277638312206,-0.07267949192431121,439
