k_train,feature_set,domain,method,method_source,method_display,K,selected_human_rating,random_mean,human_oracle_rating,gain_over_random,oracle_gain_over_random,n_messages,selected_human_rating_se,selected_human_rating_ci_lower,selected_human_rating_ci_upper,random_mean_se,random_mean_ci_lower,random_mean_ci_upper,gain_over_random_se,gain_over_random_ci_lower,gain_over_random_ci_upper,human_oracle_rating_se,human_oracle_rating_ci_lower,human_oracle_rating_ci_upper,oracle_gain_over_random_se,oracle_gain_over_random_ci_lower,oracle_gain_over_random_ci_upper,ci_method,ci_z,feature_selection_rule
7,Demographics + History + Message Embedding,Coping,Supervised RF,Supervised RF,Supervised RF,5,3.85,3.604565778028893,4.611666666666666,0.2454342219711076,1.007100888637774,122,0.3949683531626299,3.0758620278012456,4.6241379721987546,0.0498079035320286,3.506942287106116,3.7021892689516687,0.3980965049510681,-0.5348349277329859,1.025703371675201,0.0306865877325366,4.551520954710894,4.671812378622438,0.0585020847570626,0.8924368025139312,1.1217649747616167,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Coping,Supervised RF,Supervised RF,Supervised RF,10,3.679120879120879,3.604565778028893,4.518739316239317,0.0745551010919864,0.914173538210424,122,0.2339122409530628,3.220652886852876,4.137588871388882,0.0498079035320286,3.506942287106116,3.7021892689516687,0.2391563583138436,-0.3941913612031471,0.5433015633871201,0.0356010244928938,4.448961308233245,4.588517324245388,0.0612230365075066,0.794176386655711,1.0341706897651373,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Coping,Supervised RF,Supervised RF,Supervised RF,15,3.694413919413919,3.604565778028893,4.421280756280757,0.0898481413850267,0.8167149782518641,122,0.1636549236901961,3.3736502689811347,4.015177569846704,0.0498079035320286,3.506942287106116,3.7021892689516687,0.1710665405691592,-0.2454422781305253,0.4251385609005788,0.0438270119045777,4.335379812947784,4.507181699613729,0.0663448131110478,0.6866791445542103,0.946750811949518,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Coping,Supervised RF,Supervised RF,Supervised RF,20,3.7771993284493286,3.604565778028893,4.356436757686758,0.1726335504204361,0.7518709796578658,122,0.1358011566369349,3.511029061440936,4.043369595457721,0.0498079035320286,3.506942287106116,3.7021892689516687,0.1446470926019089,-0.1108747510793052,0.4561418519201776,0.0415523648126952,4.274994122653876,4.4378793927196405,0.0648646766413213,0.6247362134408759,0.8790057458748556,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Coping,Supervised RF,Supervised RF,Supervised RF,25,3.743246642246642,3.604565778028893,4.309308136308136,0.1386808642177497,0.7047423582792436,122,0.1168969795786007,3.514128562272585,3.972364722220699,0.0498079035320286,3.506942287106116,3.7021892689516687,0.1270658533550838,-0.1103682083582146,0.3877299367937141,0.0382811231854265,4.2342771348647,4.384339137751572,0.0628193572602718,0.5816164180491107,0.8278682985093765,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Coping,LLM-PP,LLM-PP (Grok-4-Fast),LLM-PP,5,4.175,3.604565778028893,4.611666666666666,0.5704342219711074,1.007100888637774,122,0.1864135188230724,3.8096295031067777,4.540370496893222,0.0498079035320286,3.506942287106116,3.7021892689516687,0.1929529146042004,0.1922465093468745,0.9486219345953402,0.0306865877325366,4.551520954710894,4.671812378622438,0.0585020847570626,0.8924368025139312,1.1217649747616167,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Coping,LLM-PP,LLM-PP (Grok-4-Fast),LLM-PP,10,4.0702380952380945,3.604565778028893,4.518739316239317,0.4656723172092021,0.914173538210424,122,0.1253837646403,3.8244859165431064,4.315990273933083,0.0498079035320286,3.506942287106116,3.7021892689516687,0.1349144754636433,0.2012399453004612,0.730104689117943,0.0356010244928938,4.448961308233245,4.588517324245388,0.0612230365075066,0.794176386655711,1.0341706897651373,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Coping,LLM-PP,LLM-PP (Grok-4-Fast),LLM-PP,15,4.086825396825397,3.604565778028893,4.421280756280757,0.4822596187965042,0.8167149782518641,122,0.0909251946958942,3.908612015221444,4.265038778429349,0.0498079035320286,3.506942287106116,3.7021892689516687,0.1036736142166469,0.2790593349318762,0.6854599026611323,0.0438270119045777,4.335379812947784,4.507181699613729,0.0663448131110478,0.6866791445542103,0.946750811949518,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Coping,LLM-PP,LLM-PP (Grok-4-Fast),LLM-PP,20,4.015119047619048,3.604565778028893,4.356436757686758,0.4105532695901552,0.7518709796578658,122,0.0939834037269475,3.8309115763142305,4.199326518923865,0.0498079035320286,3.506942287106116,3.7021892689516687,0.1063659129155496,0.202076080275678,0.6190304589046325,0.0415523648126952,4.274994122653876,4.4378793927196405,0.0648646766413213,0.6247362134408759,0.8790057458748556,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Coping,LLM-PP,LLM-PP (Grok-4-Fast),LLM-PP,25,4.001873015873016,3.604565778028893,4.309308136308136,0.3973072378441231,0.7047423582792436,122,0.084074390978225,3.8370872095556945,4.166658822190336,0.0498079035320286,3.506942287106116,3.7021892689516687,0.0977206757683107,0.205774713338234,0.5888397623500122,0.0382811231854265,4.2342771348647,4.384339137751572,0.0628193572602718,0.5816164180491107,0.8278682985093765,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
7,Demographics + History + Message Embedding,Quitting,Supervised RF,Supervised RF,Supervised RF,5,3.7433333333333336,3.620232784064751,4.423888888888889,0.1231005492685826,0.8036561048241384,122,0.1226557966198273,3.502927971958472,3.983738694708195,0.0484326334177251,3.5253048225660097,3.715160745563492,0.1318717726589743,-0.135368125143007,0.3815692236801722,0.0220759072070061,4.380620110763157,4.467157667014622,0.0532265503183147,0.6993320662002416,0.9079801434480352,normal_approx_message_se,1.96,fixed feature set across all domains: Demographics + History + Message Embedding
