Model,Method,Combination,Domain,accuracy,directional_accuracy,kappa,spearman_rho,macro_f1
DeepSeek-R1,Few-shot (all),"DeepSeek-R1
Few-shot (all)",Quitting,0.26277372262773724,0.6970802919708029,0.037275399627767825,-0.010667625300041724,0.36961884002382445
DeepSeek-R1,Few-shot (select),"DeepSeek-R1
Few-shot (select)",Content,0.354014598540146,0.791970802919708,0.05728447856934593,0.11165672767379586,0.3469072016992451
DeepSeek-R1,Few-shot (select),"DeepSeek-R1
Few-shot (select)",Coping,0.2846715328467153,0.6751824817518248,0.03277861825516892,-0.05405683261311771,0.3307695795081038
DeepSeek-R1,Few-shot (select),"DeepSeek-R1
Few-shot (select)",Quitting,0.2846715328467153,0.7043795620437956,0.03820047638662549,0.04301864370517162,0.37357116221701125
DeepSeek-R1,Zero-shot (w/ prob),"DeepSeek-R1
Zero-shot (w/ prob)",Content,0.35036496350364965,0.8248175182481752,0.04235307977772984,0.14761632022426305,0.35954785954785956
DeepSeek-R1,Zero-shot (w/ prob),"DeepSeek-R1
Zero-shot (w/ prob)",Coping,0.2846715328467153,0.7262773722627737,0.036975935157622986,0.021175200307082673,0.36927173970363336
DeepSeek-R1,Zero-shot (w/ prob),"DeepSeek-R1
Zero-shot (w/ prob)",Quitting,0.2116788321167883,0.5218978102189781,0.04228360600029135,-0.012208940534380113,0.28730978169180416
DeepSeek-R1,Digital Twin (70/30),"DeepSeek-R1
Digital Twin (70/30)",Content,0.43788819875776397,0.8354037267080745,0.20063091482649842,0.3333333333333333,0.487849669267667
DeepSeek-R1,Digital Twin (70/30),"DeepSeek-R1
Digital Twin (70/30)",Coping,0.38699690402476783,0.804953560371517,0.18002436053593185,0.7142857142857142,0.4616440351734468
DeepSeek-R1,Digital Twin (70/30),"DeepSeek-R1
Digital Twin (70/30)",Quitting,0.4024767801857585,0.8080495356037152,0.20539686181535455,0.5999999999999999,0.5171012699921301
DeepSeek-R1,Hybrid RF+DT (70/30),"DeepSeek-R1
Hybrid RF+DT",Content,0.33962264150943394,0.8238993710691824,0.07491549842079015,-0.6666666666666666,0.3879286917189549
DeepSeek-R1,Hybrid RF+DT (70/30),"DeepSeek-R1
Hybrid RF+DT",Coping,0.3730407523510972,0.7648902821316614,0.16692781782095467,0.9999999999999999,0.46960932685466394
DeepSeek-R1,Hybrid RF+DT (70/30),"DeepSeek-R1
Hybrid RF+DT",Quitting,0.4106583072100313,0.7962382445141066,0.2229291110045739,0.0,0.5075155487582842
Grok-4-Fast,Zero-shot (all),"Grok-4-Fast
Zero-shot (all)",Content,0.3686131386861314,0.8321167883211679,0.030098418349600142,-0.009126302278287975,0.26956521739130435
Grok-4-Fast,Zero-shot (all),"Grok-4-Fast
Zero-shot (all)",Coping,0.32116788321167883,0.7846715328467153,0.03343637984334391,-0.07023502691896259,0.32703081232493
Grok-4-Fast,Zero-shot (all),"Grok-4-Fast
Zero-shot (all)",Quitting,0.28102189781021897,0.7007299270072993,0.053017543859649074,-0.03909023212405974,0.3726143686291239
Grok-4-Fast,Zero-shot (select),"Grok-4-Fast
Zero-shot (select)",Content,0.3613138686131387,0.8248175182481752,0.02621798907414541,0.0027625096139152045,0.28025351554763317
Grok-4-Fast,Zero-shot (select),"Grok-4-Fast
Zero-shot (select)",Coping,0.30656934306569344,0.7883211678832117,0.017049638426826386,0.155016701778357,0.34286191728448684
Grok-4-Fast,Zero-shot (select),"Grok-4-Fast
Zero-shot (select)",Quitting,0.28832116788321166,0.7153284671532847,0.04915290432801833,0.02933454303735424,0.3792028420970907
Grok-4-Fast,Few-shot (all),"Grok-4-Fast
Few-shot (all)",Content,0.31386861313868614,0.781021897810219,-0.01913146700959545,-0.1508711434927067,0.33142679238569644
Grok-4-Fast,Few-shot (all),"Grok-4-Fast
Few-shot (all)",Coping,0.291970802919708,0.7335766423357665,0.012960968544583507,-0.143436439377246,0.3453567185349182
Grok-4-Fast,Few-shot (all),"Grok-4-Fast
Few-shot (all)",Quitting,0.3175182481751825,0.7335766423357665,0.06816280507765615,0.12757643454260695,0.40409723770157374
Grok-4-Fast,Few-shot (select),"Grok-4-Fast
Few-shot (select)",Content,0.3248175182481752,0.7956204379562044,0.028443285927856832,-0.01947442701124089,0.33967340413383584
Grok-4-Fast,Few-shot (select),"Grok-4-Fast
Few-shot (select)",Coping,0.2846715328467153,0.7481751824817519,0.028983672952790807,-0.06547363354357995,0.39070500782898526
