Model,Model_ID,Method,Category,Domain,Accuracy,Directional Accuracy,Directional Macro-F1,Kappa,QWK,F1,Kendall_Tau,Spearman_Rho,N,Split,Source_File,Feature_Set,Classifier
GPT-5,gpt-5,Few-shot (select),Generic LLM,Quitting,0.22149837133550487,0.41368078175895767,0.37414947221302736,0.026650924623915495,0.11373002418731337,0.19454125509853065,0.11302112980345384,0.9999999999999999,307,digital_twin_7030,results_manuscript_gpt-5/generic_llm_4_few_shot_select_dt7030.json,,
GPT-5,gpt-5,PP,Personalized Prompt,Content,0.45751633986928103,0.6830065359477124,0.46461446681580915,0.21404920315642895,0.3438936602401911,0.3261304646406525,0.3419421608031022,,306,digital_twin_7030,results_manuscript_gpt-5/digital_twin_4_cbtact_7030.json,,
GPT-5,gpt-5,PP,Personalized Prompt,Coping,0.3713355048859935,0.6091205211726385,0.516723488698514,0.15888022940533486,0.39134781577252864,0.3315140500874258,0.32924285666541137,0.0,307,digital_twin_7030,results_manuscript_gpt-5/digital_twin_4_cbtact_7030.json,,
GPT-5,gpt-5,PP,Personalized Prompt,Quitting,0.40716612377850164,0.6449511400651465,0.5186028159091756,0.2121101020926166,0.48553938053601764,0.3828724488527605,0.42795707742794153,,307,digital_twin_7030,results_manuscript_gpt-5/digital_twin_4_cbtact_7030.json,,
GPT-5,gpt-5,Hybrid RF+PP,Hybrid,Content,0.4738562091503268,0.7222222222222222,0.5630006941020343,0.24471086036671374,0.3699906046651896,0.34058224482136246,0.36009830764602535,,306,digital_twin_7030,results_manuscript_hybrid_gpt-5/evaluation_results_gpt-5_text-only_hybrid-rf-digital-twin.json,,
GPT-5,gpt-5,Hybrid RF+PP,Hybrid,Coping,0.42671009771986973,0.6221498371335505,0.5371515778073155,0.237805050077585,0.4091633383688926,0.38831336115017184,0.3557737337693034,,307,digital_twin_7030,results_manuscript_hybrid_gpt-5/evaluation_results_gpt-5_text-only_hybrid-rf-digital-twin.json,,
GPT-5,gpt-5,Hybrid RF+PP,Hybrid,Quitting,0.44625407166123776,0.6482084690553745,0.5499959732172122,0.2707634697071317,0.48161677212201337,0.4120422109063636,0.44153193558772263,,307,digital_twin_7030,results_manuscript_hybrid_gpt-5/evaluation_results_gpt-5_text-only_hybrid-rf-digital-twin.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (all),Generic LLM,Content,0.3006535947712418,0.5686274509803921,0.3315135665250082,-0.008656541696189457,0.015599262273156111,0.16205926403803347,0.011508349363877853,,306,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_1_zero_shot_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (all),Generic LLM,Coping,0.20521172638436483,0.30618892508143325,0.2937265198928485,0.00802500198638656,0.018315785152802633,0.1549808849952322,0.02915499647499385,,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_1_zero_shot_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (all),Generic LLM,Quitting,0.13680781758957655,0.23127035830618892,0.23002655897233662,-0.007716890452361014,0.03662574169441113,0.10545228337236534,0.04296224389003487,-0.9999999999999999,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_1_zero_shot_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (select),Generic LLM,Content,0.37254901960784315,0.7058823529411765,0.4030868547268884,0.04648143339392363,0.14259295581271536,0.23370665972105945,0.14467306086459533,,306,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_2_zero_shot_select_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (select),Generic LLM,Coping,0.2899022801302932,0.5146579804560261,0.37786064264213365,0.034312593789680323,0.08395067096402498,0.18722897786565607,0.08498882064517765,,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_2_zero_shot_select_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (select),Generic LLM,Quitting,0.1986970684039088,0.34527687296416937,0.3101588069778812,-0.001113497176489453,0.07279391681939273,0.15695448108858495,0.08392552434863937,-0.9999999999999999,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_2_zero_shot_select_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Few-shot (all),Generic LLM,Content,0.3137254901960784,0.5392156862745098,0.34350880765706143,0.03963414634146334,0.08163635264970692,0.23183949147393185,0.060120423304937366,,306,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_3_few_shot_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Few-shot (all),Generic LLM,Coping,0.2182410423452769,0.3973941368078176,0.33185320213282526,0.008838129060898425,0.07667813184187877,0.2029897869271871,0.07494575074030639,0.9999999999999999,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_3_few_shot_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Few-shot (all),Generic LLM,Quitting,0.28664495114006516,0.4788273615635179,0.3791246143260989,0.07477947348865366,0.10152804563906836,0.2524604007487189,0.06963503200390973,-0.9999999999999999,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_3_few_shot_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Few-shot (select),Generic LLM,Content,0.3300653594771242,0.6111111111111112,0.37843092195125555,0.04313737453857647,0.12087247434176962,0.22955019679206384,0.08429802226503948,,306,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_4_few_shot_select_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Few-shot (select),Generic LLM,Coping,0.26058631921824105,0.4755700325732899,0.37933803212787504,0.030697118059419215,0.10527468016692887,0.21883306058915813,0.08423143905111395,0.9999999999999999,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_4_few_shot_select_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Few-shot (select),Generic LLM,Quitting,0.31921824104234525,0.5700325732899023,0.41396013978267215,0.08204812727116662,0.17528015146088105,0.256697640593105,0.1309431503454958,-0.9999999999999999,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_4_few_shot_select_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,PP,Personalized Prompt,Content,0.434640522875817,0.6633986928104575,0.48738468107522315,0.19817636545393968,0.28014565632044386,0.29955562346869247,0.2778364404725804,,306,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/digital_twin_4_cbtact_7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,PP,Personalized Prompt,Coping,0.38762214983713356,0.5993485342019544,0.46902007564198595,0.18385700953081252,0.3891744063669117,0.35266643817759463,0.32527932492505246,0.9999999999999999,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/digital_twin_4_cbtact_7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,PP,Personalized Prompt,Quitting,0.4006514657980456,0.6416938110749185,0.5126684805885169,0.2030923762767337,0.4355081897280878,0.36624811069227664,0.35883985960427095,,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/digital_twin_4_cbtact_7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Hybrid RF+PP,Hybrid,Content,0.3344370860927152,0.5894039735099338,0.3904248730335687,0.07091145634039953,0.26446753532354705,0.22508409690037282,0.2638962583419551,,302,digital_twin_7030,results_manuscript_hybrid_deepseek_deepseek-r1-0528/evaluation_results_deepseek_deepseek-r1-0528_text-only_hybrid-rf-digital-twin.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Hybrid RF+PP,Hybrid,Coping,0.37623762376237624,0.5841584158415841,0.4771888718800629,0.1752192761367073,0.32394620997406987,0.34719265797690335,0.28156480247620036,0.9999999999999999,303,digital_twin_7030,results_manuscript_hybrid_deepseek_deepseek-r1-0528/evaluation_results_deepseek_deepseek-r1-0528_text-only_hybrid-rf-digital-twin.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Hybrid RF+PP,Hybrid,Quitting,0.41254125412541254,0.6270627062706271,0.5083790906780653,0.22562026188835282,0.39836160037583357,0.3655837981564603,0.3603107346210035,,303,digital_twin_7030,results_manuscript_hybrid_deepseek_deepseek-r1-0528/evaluation_results_deepseek_deepseek-r1-0528_text-only_hybrid-rf-digital-twin.json,,
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (all),Generic LLM,Content,0.39869281045751637,0.7287581699346405,0.2928630741663389,0.05132266217354675,0.08162222758297732,0.18968872595817263,0.1084705787080872,,306,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_1_zero_shot_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (all),Generic LLM,Coping,0.3127035830618892,0.5635179153094463,0.38594641036992217,0.045473969615254184,0.09708123402248636,0.1736732826557097,0.10796551940113946,,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_1_zero_shot_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (all),Generic LLM,Quitting,0.28338762214983715,0.50814332247557,0.3614110623596318,0.04115617768565716,0.08611072650671525,0.1727739173439037,0.06460991353036061,,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_1_zero_shot_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (select),Generic LLM,Content,0.41830065359477125,0.7254901960784313,0.2813688212927757,0.08401722050316163,0.10867818400964235,0.19304732007906056,0.18027509256356816,,306,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_2_zero_shot_select_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (select),Generic LLM,Coping,0.3289902280130293,0.5960912052117264,0.3746728514630269,0.060311139507585376,0.15070225070725796,0.17739296209695876,0.20692392336502852,,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_2_zero_shot_select_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (select),Generic LLM,Quitting,0.30944625407166126,0.5667752442996743,0.3784821145932257,0.05368151680818889,0.19059115021759154,0.22198118038045003,0.16700331672568328,,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_2_zero_shot_select_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (all),Generic LLM,Content,0.39869281045751637,0.7091503267973857,0.3371615312791783,0.07698360655737713,0.16851426839301953,0.23049126551975735,0.17146037841205566,,306,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_3_few_shot_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (all),Generic LLM,Coping,0.32247557003257327,0.5798045602605864,0.38374435411020774,0.059336515231866116,0.11678619079386254,0.21289096637477925,0.1096428737563677,0.9999999999999999,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_3_few_shot_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (all),Generic LLM,Quitting,0.3550488599348534,0.6384364820846905,0.402234361162003,0.09244826659500138,0.22373354259307698,0.28274492827434006,0.17521069097846612,,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_3_few_shot_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (select),Generic LLM,Content,0.3954248366013072,0.7058823529411765,0.39106201456799067,0.08070802208509253,0.18099859132884633,0.2517800660175632,0.16968013258929446,,306,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_4_few_shot_select_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (select),Generic LLM,Coping,0.33876221498371334,0.5667752442996743,0.36777414669571534,0.08165099761280237,0.08759075181025033,0.25872484064616474,0.0639016639435497,0.9999999999999999,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_4_few_shot_select_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (select),Generic LLM,Quitting,0.36156351791530944,0.6351791530944625,0.41829915152320646,0.10067555449273635,0.22102910412739318,0.2821625768991498,0.15411897437245992,0.9999999999999999,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_4_few_shot_select_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,PP,Personalized Prompt,Content,0.4869281045751634,0.7222222222222222,0.45475580844001895,0.23553561199159823,0.327362569487338,0.3075903007065005,0.34914795597005016,,306,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/digital_twin_4_cbtact_7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,PP,Personalized Prompt,Coping,0.44625407166123776,0.6644951140065146,0.5304783713972206,0.24056342946945664,0.4382038288288289,0.3658590406713107,0.37871260424897174,0.0,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/digital_twin_4_cbtact_7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,PP,Personalized Prompt,Quitting,0.43973941368078173,0.6710097719869706,0.5151120297148334,0.23460261780863623,0.4944863030786887,0.39366636215374967,0.42308310734388294,,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/digital_twin_4_cbtact_7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Hybrid RF+PP,Hybrid,Content,0.4738562091503268,0.7516339869281046,0.4685409122998793,0.20214419900239688,0.3249890313459758,0.3185602333495382,0.35400437993834943,,306,digital_twin_7030,results_manuscript_hybrid_x-ai_grok-4-fast/evaluation_results_x-ai_grok-4-fast_text-only_hybrid-rf-digital-twin.json,,
Grok-4-Fast,x-ai_grok-4-fast,Hybrid RF+PP,Hybrid,Coping,0.4201954397394137,0.6644951140065146,0.48138872749695577,0.19538842099063547,0.45494651327528857,0.35854380418521126,0.40979610527690624,0.9999999999999999,307,digital_twin_7030,results_manuscript_hybrid_x-ai_grok-4-fast/evaluation_results_x-ai_grok-4-fast_text-only_hybrid-rf-digital-twin.json,,
